what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1367804276688
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1367804276719
started,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1367804276720
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1367804276720
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1367804276720
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1367804276720
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1367804276721
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1367804276748
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1367804276749
os,sysinfo,,,"win32",1367804276752
arch,sysinfo,,,"x86",1367804276752
ws,sysinfo,,,"win32",1367804276752
locale,sysinfo,,,"en_US",1367804276752
processors,sysinfo,,,"2",1367804276752
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367804276752
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1367804276752
java.specification.name,sysinfo,,,"Java Platform API Specification",1367804276752
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367804276752
java.specification.version,sysinfo,,,"1.6",1367804276752
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367804276752
java.version,sysinfo,,,"1.6.0_27",1367804276752
java.vm.info,sysinfo,,,"mixed mode",1367804276752
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367804276752
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367804276752
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367804276752
