what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.ide",1367889995552
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1367889995553
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1367889995553
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1367889995554
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1367889995555
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1367889995555
os,sysinfo,,,"win32",1367889995558
arch,sysinfo,,,"x86",1367889995558
ws,sysinfo,,,"win32",1367889995558
locale,sysinfo,,,"en_US",1367889995558
processors,sysinfo,,,"2",1367889995559
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1367889995559
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1367889995559
java.specification.name,sysinfo,,,"Java Platform API Specification",1367889995559
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367889995559
java.specification.version,sysinfo,,,"1.6",1367889995559
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367889995559
java.version,sysinfo,,,"1.6.0_27",1367889995559
java.vm.info,sysinfo,,,"mixed mode",1367889995559
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1367889995559
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367889995559
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367889995559
java.vm.specification.version,sysinfo,,,"1.0",1367889995559
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1367889995559
java.vm.version,sysinfo,,,"20.2-b06",1367889995559
